MONTH,YEAR,REGION,Area,"Number of
Reservoirs","Total Capacity
 
 1000 AF","Hist Ave
 
 1000 AF","Previous year 
 
 1000 AF","Current year 
 
 1000 AF","% 
 
Ave","% 
 
Cap"
11,2011,South,SOUTH LAHONTAN,8,402.5,267.3,374.4,296.1,111,74
11,2011,North,NORTH COAST,6,3096.3,1993.4,2135.8,2248.5,113,73
12,2012,North,SAN FRANCISCO BAY,17,688,423.8,493.5,430.5,102,63
12,2012,Central,CENTRAL COAST,6,970.3,535,556.5,717.2,134,74
12,2012,South,SOUTH COAST,29,1973.8,1308.1,1389.4,1373.8,105,70
12,2012,North,SACRAMENTO,43,16001.7,9826.4,11008.8,10779.1,110,67
12,2012,Central,SAN JOAQUIN,34,11440.4,6501.3,8206,8487.7,131,74
12,2012,South,TULARE LAKE,6,2087.4,684.9,1098.4,885.1,129,42
12,2012,North,NORTH LAHONTAN,5,1072,473.9,382.9,703.9,149,66
12,2012,South,SOUTH LAHONTAN,8,402.5,265.4,285.2,302,114,75
1,2012,North,NORTH COAST,6,3096.3,2114.3,2230.6,2293.4,108,74
1,2012,North,SAN FRANCISCO BAY,17,688,466.4,485.4,418.7,90,61
1,2012,Central,CENTRAL COAST,6,970.3,597.1,615.6,729.2,122,75
1,2012,South,SOUTH COAST,29,1973.8,1375.1,1466.1,1384.7,101,70
1,2012,North,SACRAMENTO,43,16001.7,10538,11176.4,10874.7,103,68
1,2012,Central,SAN JOAQUIN,34,11440.4,6933.2,8550.3,8432.2,122,74
1,2012,South,TULARE LAKE,6,2087.4,763.9,1016.9,929.6,122,45
1,2012,North,NORTH LAHONTAN,5,1072,503.4,411.3,727.7,145,68
1,2012,South,SOUTH LAHONTAN,8,402.5,267.4,275.6,304.7,114,76
2,2012,North,NORTH COAST,6,3096.3,2224.6,2315.5,2295.5,103,74
2,2012,North,SAN FRANCISCO BAY,17,688,505.7,531.5,418.6,83,61
2,2012,Central,CENTRAL COAST,6,970.3,656.8,724.3,725.2,110,75
2,2012,South,SOUTH COAST,29,1973.8,1447.2,1511.3,1385.7,96,70
2,2012,North,SACRAMENTO,43,16001.7,11244,11989.5,10917.8,97,68
2,2012,Central,SAN JOAQUIN,34,11440.4,7211.1,8684.6,8174.1,113,71
2,2012,South,TULARE LAKE,6,2087.4,840.9,1008.4,953.4,113,46
2,2012,North,NORTH LAHONTAN,5,1072,526.8,449.2,720.9,137,67
2,2012,South,SOUTH LAHONTAN,8,402.5,267.7,292.3,301.4,113,75
3,2012,North,NORTH COAST,6,3096.3,2359.9,2581,2508.5,106,81
3,2012,North,SAN FRANCISCO BAY,17,688,526.9,590.1,464.8,88,68
3,2012,Central,CENTRAL COAST,6,970.3,701.1,885,726.1,104,75
3,2012,South,SOUTH COAST,29,1973.8,1509,1605.7,1398.2,93,71
3,2012,North,SACRAMENTO,43,16001.7,12243.4,12968.6,12943,106,81
